timeStamp,elapsed,responseCode,responseMessage,success
1572455833306,20,200,OK,true
1572455834306,15,304,Not Modified,true
1572455835306,13,304,Not Modified,true
1572455836306,13,304,Not Modified,true
1572455837305,13,304,Not Modified,true
1572455838305,15,304,Not Modified,true
1572455839305,16,304,Not Modified,true
1572455840306,16,304,Not Modified,true
1572455841305,15,304,Not Modified,true
1572455842305,8,304,Not Modified,true
1572455843306,16,304,Not Modified,true
1572455844306,14,304,Not Modified,true
1572455845307,56,304,Not Modified,true
1572455846306,15,304,Not Modified,true
1572455847307,13,304,Not Modified,true
1572455848305,76,304,Not Modified,true
1572455849306,15,304,Not Modified,true
1572455850305,14,304,Not Modified,true
1572455851305,25,304,Not Modified,true
1572455852305,13,304,Not Modified,true
1572455853305,53,304,Not Modified,true
1572455854305,112,304,Not Modified,true
1572455855305,14,304,Not Modified,true
1572455856305,16,304,Not Modified,true
1572455857305,12,304,Not Modified,true
1572455858306,9,304,Not Modified,true
1572455859306,15,304,Not Modified,true
1572455860306,10,304,Not Modified,true
1572455861306,13,304,Not Modified,true
1572455862306,13,304,Not Modified,true
1572455863305,12,304,Not Modified,true
1572455864306,11,304,Not Modified,true
1572455865306,12,304,Not Modified,true
1572455866305,13,304,Not Modified,true
1572455867306,9,304,Not Modified,true
1572455868305,10,304,Not Modified,true
1572455869306,10,304,Not Modified,true
1572455870305,11,304,Not Modified,true
1572455871305,19,304,Not Modified,true
1572455872305,13,304,Not Modified,true
1572455873305,15,304,Not Modified,true
1572455874305,14,304,Not Modified,true
1572455875306,11,304,Not Modified,true
1572455876306,15,304,Not Modified,true
1572455877305,14,304,Not Modified,true
1572455878305,13,304,Not Modified,true
1572455879305,14,304,Not Modified,true
1572455880305,18,304,Not Modified,true
1572455881306,12,304,Not Modified,true
1572455882306,18,304,Not Modified,true
1572455883305,11,304,Not Modified,true
1572455884306,27,304,Not Modified,true
1572455885305,22,304,Not Modified,true
1572455886306,16,304,Not Modified,true
1572455887305,23,304,Not Modified,true
1572455888305,14,304,Not Modified,true
1572455889305,17,304,Not Modified,true
1572455890305,13,304,Not Modified,true
1572455891305,12,304,Not Modified,true
1572455892305,19,304,Not Modified,true
1572455893305,18,304,Not Modified,true
